triplet_id,relation_family,condition,model,sim_pos,sim_neg,margin,correct
control_f7604670,attribute_priority_control,control,relsim,0.6425232291221619,0.011728130280971527,0.6307950988411903,1
control_f7604670,attribute_priority_control,control,CLIP,0.702751636505127,0.4736998677253723,0.22905176877975464,1
control_f7604670,attribute_priority_control,control,DINO,0.003678831271827221,-0.01683374121785164,0.02051257248967886,1
control_f0179de6,attribute_priority_control,control,relsim,0.2960059642791748,0.16307008266448975,0.13293588161468506,1
control_f0179de6,attribute_priority_control,control,CLIP,0.7332963943481445,0.511965274810791,0.22133111953735352,1
control_f0179de6,attribute_priority_control,control,DINO,0.4259774684906006,0.025501253083348274,0.4004762154072523,1
control_edf23f69,attribute_priority_control,control,relsim,0.7550336718559265,-0.2556030750274658,1.0106367468833923,1
control_edf23f69,attribute_priority_control,control,CLIP,0.7933750748634338,0.5027036666870117,0.2906714081764221,1
control_edf23f69,attribute_priority_control,control,DINO,0.5465030670166016,0.038009174168109894,0.5084938928484917,1
control_ea77f0de,attribute_priority_control,control,relsim,0.5550432205200195,0.09812376648187637,0.45691945403814316,1
control_ea77f0de,attribute_priority_control,control,CLIP,0.7438233494758606,0.6852013468742371,0.058622002601623535,1
control_ea77f0de,attribute_priority_control,control,DINO,0.2823820412158966,0.16323202848434448,0.11915001273155212,1
control_e931ad97,attribute_priority_control,control,relsim,0.4500230550765991,-0.09064546972513199,0.5406685248017311,1
control_e931ad97,attribute_priority_control,control,CLIP,0.7726154327392578,0.48665618896484375,0.28595924377441406,1
control_e931ad97,attribute_priority_control,control,DINO,0.3074031174182892,0.035223204642534256,0.27217991277575493,1
control_f6b27f58,attribute_priority_control,control,relsim,0.49803054332733154,-0.07365699857473373,0.5716875419020653,1
control_f6b27f58,attribute_priority_control,control,CLIP,0.8712191581726074,0.7170881032943726,0.15413105487823486,1
control_f6b27f58,attribute_priority_control,control,DINO,0.8147326111793518,0.08849631994962692,0.7262362912297249,1
control_ec0753d7,attribute_priority_control,control,relsim,0.872818112373352,-0.008551254868507385,0.8813693672418594,1
control_ec0753d7,attribute_priority_control,control,CLIP,0.7677628993988037,0.46896326541900635,0.29879963397979736,1
control_ec0753d7,attribute_priority_control,control,DINO,0.24398870766162872,0.037869784981012344,0.20611892268061638,1
control_e22288fa,attribute_priority_control,control,relsim,0.1409059464931488,0.4938228130340576,-0.3529168665409088,0
control_e22288fa,attribute_priority_control,control,CLIP,0.75260329246521,0.498040109872818,0.25456318259239197,1
control_e22288fa,attribute_priority_control,control,DINO,0.10373283922672272,0.09823882579803467,0.005494013428688049,1
control_ecbe3667,attribute_priority_control,control,relsim,0.6056052446365356,0.20279619097709656,0.4028090536594391,1
control_ecbe3667,attribute_priority_control,control,CLIP,0.752975344657898,0.5550838112831116,0.19789153337478638,1
control_ecbe3667,attribute_priority_control,control,DINO,0.34774789214134216,0.06186497211456299,0.2858829200267792,1
control_edd38ba0,attribute_priority_control,control,relsim,0.25314486026763916,0.0624452643096447,0.19069959595799446,1
control_edd38ba0,attribute_priority_control,control,CLIP,0.8041835427284241,0.5442512631416321,0.259932279586792,1
control_edd38ba0,attribute_priority_control,control,DINO,0.0681614875793457,0.035103995352983475,0.03305749222636223,1
control_f6285277,attribute_priority_control,control,relsim,0.5369091033935547,0.1057017594575882,0.4312073439359665,1
control_f6285277,attribute_priority_control,control,CLIP,0.8247281312942505,0.5864948034286499,0.23823332786560059,1
control_f6285277,attribute_priority_control,control,DINO,0.183050274848938,0.03384239226579666,0.14920788258314133,1
control_ece7301b,attribute_priority_control,control,relsim,0.14411915838718414,-0.10988087952136993,0.2540000379085541,1
control_ece7301b,attribute_priority_control,control,CLIP,0.6451408863067627,0.471132755279541,0.17400813102722168,1
control_ece7301b,attribute_priority_control,control,DINO,0.046071551740169525,-0.035347819328308105,0.08141937106847763,1
control_eab97184,attribute_priority_control,control,relsim,0.3064571022987366,0.12282364070415497,0.1836334615945816,1
control_eab97184,attribute_priority_control,control,CLIP,0.7707284688949585,0.451511025428772,0.3192174434661865,1
control_eab97184,attribute_priority_control,control,DINO,0.3216830790042877,0.030092574656009674,0.29159050434827805,1
